event_hour,event_type,event_count,gold_ingested_at
2024-01-01 15:00:00,CommitCommentEvent,94,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,CreateEvent,3627,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,DeleteEvent,2145,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,ForkEvent,609,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,GollumEvent,40,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,IssueCommentEvent,3117,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,IssuesEvent,959,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,MemberEvent,59,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,PublicEvent,30,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,PullRequestEvent,4676,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,PullRequestReviewCommentEvent,497,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,PullRequestReviewEvent,1146,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,PushEvent,12092,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,ReleaseEvent,295,2026-05-14 21:46:22.585995
2024-01-01 15:00:00,WatchEvent,2597,2026-05-14 21:46:22.585995